Sample,Age.Days,DPE,Treatment,Temperature,Tank.ID,Sex,Pathology.Results,Total.Worm.Count,Repeat.Extract,No.PCR.Product,Treatment.,Temperature.,DPE.,Temp.DPE.,Temp.Treat.,Treat.Temp.DPE.,Path.Res.,Temp.Path.,Shannon__Genus,Simpson__Genus,Richness__Genus,Phylogenetic__Genus,Shannon__Genus_norm,Simpson__Genus_norm,Richness__Genus_norm,Phylogenetic__Genus_norm
109,178,14,1,28,10,1,0,0,0,0,2,1,2,2,2,17,1,1,16.24446196,4.740181605,161,43.13869,0.468946321,0.364857736,0.892160202,0.915765918
110,178,14,1,28,10,0,1,1,0,0,2,1,2,2,2,17,2,2,1.920464691,1.58709096,7,2.59752,0.059443787,0.09583303,0.013240357,0
111,178,14,1,35,3,0,0,0,0,0,2,3,2,12,6,27,1,5,22.01409422,11.82452986,103,25.38593,0.566153065,0.632661067,0.642949307,0.639027004
112,178,14,1,35,3,1,0,0,0,0,2,3,2,12,6,27,1,5,17.48661898,10.29994254,105,23.78104,0.491306582,0.589423752,0.652306958,0.609514224
114,178,14,1,35,3,0,0,0,0,0,2,3,2,12,6,27,1,5,29.04500862,17.91656864,118,30.53518,0.667167504,0.769309732,0.711580811,0.727618343
115,178,14,1,35,3,0,0,0,0,0,2,3,2,12,6,27,1,5,16.60072164,8.349185559,98,23.6115,0.475452826,0.525624464,0.619251851,0.606336203
116,178,14,1,32,8,0,1,9,0,0,2,2,2,7,4,22,2,4,52.76525049,28.39969456,169,42.71089,0.932671017,0.932868586,0.923643219,0.909895604
117,178,14,1,32,8,1,1,7,0,0,2,2,2,7,4,22,2,4,58.1514206,31.31169727,175,45.11017,0.983057116,0.969252724,0.946889866,0.942431782
118,178,14,1,32,8,1,1,15,0,0,2,2,2,7,4,22,2,4,35.08089154,15.10610959,112,28.26252,0.743560622,0.711996232,0.684545221,0.689569755
119,178,14,1,32,8,1,0,0,0,0,2,2,2,7,4,22,1,3,1.251584581,1.067168769,35,10.50864,0.014976963,0.010298243,0.263256056,0.308324282
120,178,14,1,32,8,0,0,0,0,0,2,2,2,7,4,22,1,3,12.36126681,3.597869903,141,36.01552,0.392224566,0.292134036,0.810765062,0.813653905
121,185,21,0,35,4,0,0,0,0,0,1,3,3,13,5,13,1,5,8.936359789,4.60337851,49,13.47809,0.312551481,0.356966326,0.355508447,0.388071615
122,185,21,0,35,4,0,0,0,0,0,1,3,3,13,5,13,1,5,11.69758686,6.426947145,54,14.82826,0.377838642,0.449331395,0.385962929,0.421254413
123,185,21,0,35,4,0,0,0,0,0,1,3,3,13,5,13,1,5,9.559744208,4.756479954,48,14.03686,0.328167316,0.365785326,0.349280116,0.402006873
124,185,21,0,35,4,1,0,0,0,0,1,3,3,13,5,13,1,5,11.70987325,6.434192061,57,14.8228,0.378108984,0.449652454,0.403727697,0.421123494
125,185,21,0,35,4,1,0,0,0,0,1,3,3,13,5,13,1,5,11.86459435,7.374174562,57,14.84293,0.381500098,0.488981772,0.403727697,0.421606043
126,185,21,0,32,12,0,0,0,0,0,1,2,3,8,3,8,1,3,9.379431169,4.088359601,62,16.12152,0.323709549,0.325405275,0.432575514,0.451580998
127,185,21,0,32,12,1,0,0,0,0,1,2,3,8,3,8,1,3,16.05182823,8.866361493,65,17.05538,0.465395458,0.543646758,0.449465249,0.472692569
128,185,21,0,32,12,1,0,0,0,0,1,2,3,8,3,8,1,3,8.082833441,3.699464584,57,14.96762,0.29016483,0.299320076,0.403727697,0.424587442
129,185,21,0,32,12,0,0,0,0,0,1,2,3,8,3,8,1,3,11.49198305,5.083349793,64,17.45265,0.373291293,0.383856587,0.443868469,0.481489212
130,185,21,0,32,12,0,0,0,0,0,1,2,3,8,3,8,1,3,11.51290386,5.078264069,69,17.4069,0.373756034,0.383582861,0.471536965,0.480481576
131,185,21,0,28,9,1,0,0,0,0,1,1,3,3,1,3,1,1,8.96849602,4.767379703,61,16.79213,0.313370878,0.366404202,0.426877872,0.466804105
