Sample,DPE,Treatment,Temperature,Sex,Pathology.Results,Total.Worm.Count
125,21,0,35,1,0,0
126,21,0,32,0,0,0
127,21,0,32,1,0,0
128,21,0,32,1,0,0
129,21,0,32,0,0,0
130,21,0,32,0,0,0
131,21,0,28,1,0,0
132,21,0,28,0,0,0
133,21,0,28,0,0,0
134,21,0,28,0,0,0
135,21,0,28,1,0,0
136,21,0,28,1,0,0
137,21,0,28,1,0,0
138,21,0,28,1,0,0
139,21,0,28,0,0,0
140,21,0,28,0,0,0
142,21,0,35,0,0,0
143,21,0,35,0,0,0
144,21,0,35,0,0,0
145,21,0,35,0,0,0
146,21,0,32,0,0,0
147,21,0,32,0,0,0
148,21,0,32,1,0,0
149,21,0,32,0,0,0
150,21,0,32,0,0,0
151,21,1,35,1,0,0
152,21,1,35,1,0,0
153,21,1,35,0,0,0
155,21,1,35,1,0,0
156,21,1,32,1,0,0
158,21,1,32,0,0,0
160,21,1,32,1,0,0
161,21,1,28,0,1,8
163,21,1,28,1,0,0
164,21,1,28,1,1,5
166,21,1,28,1,0,0
171,21,1,35,0,0,0
172,21,1,35,0,0,0
173,21,1,35,0,0,0
174,21,1,35,0,0,0
176,21,1,32,1,1,11
177,21,1,32,1,0,0
178,21,1,32,0,1,2
179,21,1,32,0,0,0
181,28,0,35,1,0,0
182,28,0,35,1,0,0
183,28,0,35,1,0,0
184,28,0,35,0,0,0
185,28,0,35,1,0,0
186,28,0,32,1,0,0
187,28,0,32,1,0,0
188,28,0,32,1,0,0
189,28,0,32,1,0,0
190,28,0,32,0,0,0
191,28,0,28,1,0,0
192,28,0,28,1,0,0
193,28,0,28,0,0,0
194,28,0,28,1,0,0
195,28,0,28,1,0,0
196,28,0,28,0,0,0
197,28,0,28,1,0,0
198,28,0,28,1,0,0
199,28,0,28,1,0,0
200,28,0,28,0,0,0
201,28,0,35,0,0,0
202,28,0,35,1,0,0
203,28,0,35,0,0,0
204,28,0,35,0,0,0
206,28,0,32,1,0,0
207,28,0,32,0,0,0
208,28,0,32,0,0,0
209,28,0,32,1,0,0
211,28,1,35,1,0,0
212,28,1,35,1,0,0
213,28,1,35,1,0,0
214,28,1,35,1,1,1
216,28,1,32,1,1,4
218,28,1,32,0,0,0
219,28,1,32,0,0,0
220,28,1,32,1,1,11
221,28,1,28,0,1,9
224,28,1,28,1,1,3
226,28,1,28,0,1,8
227,28,1,28,0,1,1
229,28,1,28,1,1,8
231,28,1,35,1,0,0
232,28,1,35,1,0,0
233,28,1,35,1,0,0
234,28,1,35,0,0,0
238,28,1,32,0,1,3
239,28,1,32,1,1,1
241,42,0,35,1,0,0
242,42,0,35,0,0,0
243,42,0,35,0,0,0
244,42,0,35,1,0,0
246,42,0,32,0,0,0
247,42,0,32,1,0,0
249,42,0,32,0,0,0
250,42,0,32,0,0,0
252,42,0,28,1,0,0
253,42,0,28,1,0,0
254,42,0,28,0,0,0
255,42,0,28,0,0,0
256,42,0,28,0,0,0
257,42,0,28,0,0,0
258,42,0,28,0,0,0
259,42,0,28,0,0,0
260,42,0,28,1,0,0
261,42,0,35,1,0,0
262,42,0,35,0,0,0
263,42,0,35,0,0,0
265,42,0,35,1,0,0
266,42,0,32,1,0,0
267,42,0,32,1,0,0
268,42,0,32,1,0,0
269,42,0,32,1,0,0
270,42,0,32,1,0,0
271,42,1,35,1,0,0
272,42,1,35,1,0,0
273,42,1,35,0,0,0
274,42,1,35,1,0,0
275,42,1,35,1,0,0
